customer_sk,customer_id,loyalty_tier,total_orders,total_revenue,avg_order_value,first_purchase_date,last_purchase_date,estimated_ltv
1920,CUST-001585,gold,20,93569.31999999999,4678.47,2026-07-24,2026-07-24,168424.78
166,CUST-000142,silver,16,127497.76000000001,7968.61,2026-07-24,2026-07-24,165747.09
2283,CUST-001879,platinum,16,66277.36000000002,4142.34,2026-07-24,2026-07-24,165693.4
2002,CUST-001649,platinum,8,65461.84,8182.73,2026-07-24,2026-07-24,163654.6
592,CUST-000498,silver,12,125593.56,10466.13,2026-07-24,2026-07-24,163271.63
754,CUST-000635,gold,16,90356.60000000002,5647.29,2026-07-24,2026-07-24,162641.88
2383,CUST-001958,silver,12,123272.59999999998,10272.72,2026-07-24,2026-07-24,160254.38
1483,CUST-001223,silver,12,122649.72000000002,10220.81,2026-07-24,2026-07-24,159444.64
2159,CUST-001778,bronze,16,159372.80000000002,9960.8,2026-07-24,2026-07-24,159372.8
2122,CUST-001747,silver,8,122097.80000000002,15262.23,2026-07-24,2026-07-24,158727.14
779,CUST-000657,platinum,4,63409.0,15852.25,2026-07-24,2026-07-24,158522.5
666,CUST-000560,gold,12,88008.68,7334.06,2026-07-24,2026-07-24,158415.62
2350,CUST-001932,bronze,12,158347.2,13195.6,2026-07-24,2026-07-24,158347.2
65,CUST-000056,silver,12,121637.19999999998,10136.43,2026-07-24,2026-07-24,158128.36
9,CUST-000008,bronze,24,158111.48,6587.98,2026-07-24,2026-07-24,158111.48
502,CUST-000422,silver,12,121474.92000000001,10122.91,2026-07-24,2026-07-24,157917.4
2420,CUST-001988,gold,12,87037.04,7253.09,2026-07-24,2026-07-24,156666.67
931,CUST-000784,silver,16,120144.40000000004,7509.03,2026-07-24,2026-07-24,156187.72
1798,CUST-001487,silver,12,118215.35999999999,9851.28,2026-07-24,2026-07-24,153679.97
451,CUST-000380,bronze,20,151364.76,7568.24,2026-07-24,2026-07-24,151364.76
2242,CUST-001846,gold,12,83686.88,6973.91,2026-07-24,2026-07-24,150636.38
1259,CUST-001040,silver,8,115504.08000000002,14438.01,2026-07-24,2026-07-24,150155.3
1666,CUST-001380,bronze,16,149576.44000000003,9348.53,2026-07-24,2026-07-24,149576.44
825,CUST-000700,platinum,8,59685.6,7460.7,2026-07-24,2026-07-24,149214.0
235,CUST-000201,silver,12,113441.76000000001,9453.48,2026-07-24,2026-07-24,147474.29
263,CUST-000224,bronze,28,147276.59999999998,5259.88,2026-07-24,2026-07-24,147276.6
572,CUST-000480,gold,8,81102.56,10137.82,2026-07-24,2026-07-24,145984.61
416,CUST-000353,gold,12,80488.24000000002,6707.35,2026-07-24,2026-07-24,144878.83
1872,CUST-001552,bronze,12,144218.59999999998,12018.22,2026-07-24,2026-07-24,144218.6
266,CUST-000227,gold,12,79977.76000000001,6664.81,2026-07-24,2026-07-24,143959.97
1240,CUST-001027,bronze,16,142806.36,8925.4,2026-07-24,2026-07-24,142806.36
739,CUST-000621,bronze,28,142584.47999999998,5092.3,2026-07-24,2026-07-24,142584.48
1765,CUST-001460,gold,8,78845.4,9855.67,2026-07-24,2026-07-24,141921.72
487,CUST-000409,platinum,8,56461.08,7057.64,2026-07-24,2026-07-24,141152.7
1781,CUST-001470,silver,16,108066.8,6754.18,2026-07-24,2026-07-24,140486.84
535,CUST-000448,bronze,24,140329.6,5847.07,2026-07-23,2026-07-24,140329.6
1599,CUST-001320,silver,12,107478.56000000003,8956.55,2026-07-24,2026-07-24,139722.13
622,CUST-000526,silver,12,107469.72,8955.81,2026-07-24,2026-07-24,139710.64
1717,CUST-001421,platinum,12,55776.159999999996,4648.01,2026-07-24,2026-07-24,139440.4
522,CUST-000439,gold,8,77355.32,9669.42,2026-07-24,2026-07-24,139239.58
274,CUST-000234,platinum,8,55530.48,6941.31,2026-07-24,2026-07-24,138826.2
2039,CUST-001680,platinum,8,55500.8,6937.6,2026-07-24,2026-07-24,138752.0
688,CUST-000576,gold,12,76884.56,6407.05,2026-07-24,2026-07-24,138392.21
1834,CUST-001521,platinum,8,55218.399999999994,6902.3,2026-07-24,2026-07-24,138046.0
1456,CUST-001202,platinum,4,55109.6,13777.4,2026-07-24,2026-07-24,137774.0
2097,CUST-001728,gold,8,76503.56000000001,9562.95,2026-07-24,2026-07-24,137706.41
225,CUST-000193,bronze,20,137641.43999999997,6882.07,2026-07-24,2026-07-24,137641.44
823,CUST-000698,bronze,20,137422.64,6871.13,2026-07-24,2026-07-24,137422.64
2115,CUST-001743,silver,16,105687.8,6605.49,2026-07-24,2026-07-24,137394.14
2137,CUST-001759,silver,12,105488.48000000001,8790.71,2026-07-24,2026-07-24,137135.02
91,CUST-000080,silver,20,105075.32,5253.77,2026-07-24,2026-07-24,136597.92
1424,CUST-001174,silver,16,105073.56,6567.1,2026-07-24,2026-07-24,136595.63
1125,CUST-000937,gold,12,75863.88,6321.99,2026-07-24,2026-07-24,136554.98
2355,CUST-001935,bronze,20,136446.56,6822.33,2026-07-24,2026-07-24,136446.56
827,CUST-000702,bronze,12,136225.68,11352.14,2026-07-24,2026-07-24,136225.68
242,CUST-000208,bronze,24,136126.56,5671.94,2026-07-24,2026-07-24,136126.56
2252,CUST-001856,bronze,20,136025.68,6801.28,2026-07-24,2026-07-24,136025.68
685,CUST-000574,silver,12,103945.28000000001,8662.11,2026-07-24,2026-07-24,135128.86
1585,CUST-001307,bronze,24,134934.71999999997,5622.28,2026-07-24,2026-07-24,134934.72
2130,CUST-001753,platinum,8,53972.759999999995,6746.59,2026-07-24,2026-07-24,134931.9
1143,CUST-000952,platinum,12,53747.84000000001,4478.99,2026-07-24,2026-07-24,134369.6
114,CUST-000098,silver,16,103119.51999999999,6444.97,2026-07-24,2026-07-24,134055.38
2077,CUST-001712,gold,8,74471.51999999999,9308.94,2026-07-24,2026-07-24,134048.74
1389,CUST-001145,bronze,16,134005.16,8375.32,2026-07-24,2026-07-24,134005.16
1823,CUST-001511,bronze,12,133699.92,11141.66,2026-07-24,2026-07-24,133699.92
361,CUST-000305,bronze,16,132880.16,8305.01,2026-07-24,2026-07-24,132880.16
1499,CUST-001235,gold,8,73590.48,9198.81,2026-07-24,2026-07-24,132462.86
108,CUST-000094,gold,8,73051.6,9131.45,2026-07-24,2026-07-24,131492.88
164,CUST-000140,bronze,24,131334.68,5472.28,2026-07-24,2026-07-24,131334.68
1672,CUST-001385,gold,12,72913.12,6076.09,2026-07-24,2026-07-24,131243.62
483,CUST-000406,silver,24,100951.76000000002,4206.32,2026-07-24,2026-07-24,131237.29
1774,CUST-001466,silver,12,100796.76000000001,8399.73,2026-07-24,2026-07-24,131035.79
1166,CUST-000970,bronze,24,130859.68,5452.49,2026-07-24,2026-07-24,130859.68
1735,CUST-001433,gold,8,72579.92,9072.49,2026-07-24,2026-07-24,130643.86
2247,CUST-001851,gold,8,72469.08000000002,9058.64,2026-07-24,2026-07-24,130444.34
275,CUST-000235,silver,12,100275.0,8356.25,2026-07-24,2026-07-24,130357.5
889,CUST-000753,bronze,12,129940.32,10828.36,2026-07-24,2026-07-24,129940.32
1267,CUST-001047,silver,28,99919.92000000001,3568.57,2026-07-24,2026-07-24,129895.9
2086,CUST-001717,bronze,20,129682.52,6484.13,2026-07-24,2026-07-24,129682.52
2393,CUST-001967,bronze,16,129662.56,8103.91,2026-07-24,2026-07-24,129662.56
531,CUST-000444,bronze,16,128007.92,8000.5,2026-07-24,2026-07-24,128007.92
131,CUST-000113,bronze,16,127940.19999999998,7996.26,2026-07-24,2026-07-24,127940.2
2202,CUST-001812,gold,16,70968.92000000001,4435.56,2026-07-24,2026-07-24,127744.06
967,CUST-000813,bronze,20,127466.00000000001,6373.3,2026-07-24,2026-07-24,127466.0
338,CUST-000284,bronze,12,127141.72000000002,10595.14,2026-07-24,2026-07-24,127141.72
696,CUST-000582,bronze,12,126722.28,10560.19,2026-07-24,2026-07-24,126722.28
1609,CUST-001330,silver,16,97292.68000000002,6080.79,2026-07-24,2026-07-24,126480.48
895,CUST-000757,bronze,20,126414.00000000001,6320.7,2026-07-24,2026-07-24,126414.0
633,CUST-000532,silver,20,97077.36000000004,4853.87,2026-07-24,2026-07-24,126200.57
728,CUST-000611,silver,12,96435.76000000001,8036.31,2026-07-24,2026-07-24,125366.49
1377,CUST-001135,silver,12,96244.15999999999,8020.35,2026-07-24,2026-07-24,125117.41
918,CUST-000773,silver,8,96197.36,12024.67,2026-07-24,2026-07-24,125056.57
2421,CUST-001989,gold,12,69446.04,5787.17,2026-07-24,2026-07-24,125002.87
1604,CUST-001325,platinum,4,49902.24,12475.56,2026-07-24,2026-07-24,124755.6
1584,CUST-001306,gold,8,69304.0,8663.0,2026-07-24,2026-07-24,124747.2
623,CUST-000527,gold,4,68679.4,17169.85,2026-07-24,2026-07-24,123622.92
2368,CUST-001948,bronze,16,123399.2,7712.45,2026-07-24,2026-07-24,123399.2
1761,CUST-001456,gold,8,68520.2,8565.03,2026-07-24,2026-07-24,123336.36
984,CUST-000827,gold,8,68243.72,8530.47,2026-07-24,2026-07-24,122838.7
1291,CUST-001067,platinum,4,48990.72,12247.68,2026-07-24,2026-07-24,122476.8
2245,CUST-001849,bronze,16,122355.68000000001,7647.23,2026-07-24,2026-07-24,122355.68
1256,CUST-001037,gold,8,67949.40000000001,8493.68,2026-07-24,2026-07-24,122308.92
2073,CUST-001710,bronze,16,122191.99999999997,7637.0,2026-07-24,2026-07-24,122192.0
796,CUST-000674,gold,20,67820.84000000001,3391.04,2026-07-24,2026-07-24,122077.51
2019,CUST-001661,platinum,8,48716.84,6089.61,2026-07-24,2026-07-24,121792.1
581,CUST-000489,silver,12,93478.84000000001,7789.9,2026-07-24,2026-07-24,121522.49
1104,CUST-000918,silver,8,93428.44,11678.56,2026-07-24,2026-07-24,121456.97
2147,CUST-001768,gold,4,67341.2,16835.3,2026-07-24,2026-07-24,121214.16
1249,CUST-001034,silver,16,93191.04000000001,5824.44,2026-07-24,2026-07-24,121148.35
2059,CUST-001697,bronze,16,121120.44,7570.03,2026-07-24,2026-07-24,121120.44
1432,CUST-001181,platinum,12,48308.96,4025.75,2026-07-24,2026-07-24,120772.4
1917,CUST-001583,bronze,12,120720.12,10060.01,2026-07-24,2026-07-24,120720.12
442,CUST-000374,bronze,16,120572.56000000003,7535.79,2026-07-24,2026-07-24,120572.56
330,CUST-000278,silver,8,92500.31999999999,11562.54,2026-07-24,2026-07-24,120250.42
1855,CUST-001538,silver,20,92428.12000000002,4621.41,2026-07-24,2026-07-24,120156.56
1813,CUST-001502,bronze,16,119973.64000000001,7498.35,2026-07-24,2026-07-24,119973.64
234,CUST-000200,gold,8,66633.84,8329.23,2026-07-24,2026-07-24,119940.91
1421,CUST-001172,platinum,8,47850.96000000001,5981.37,2026-07-24,2026-07-24,119627.4
1428,CUST-001177,gold,16,66384.51999999999,4149.03,2026-07-24,2026-07-24,119492.14
2413,CUST-001981,gold,12,66218.2,5518.18,2026-07-24,2026-07-24,119192.76
716,CUST-000600,bronze,24,119051.64,4960.48,2026-07-24,2026-07-24,119051.64
1212,CUST-001002,gold,12,66100.72,5508.39,2026-07-24,2026-07-24,118981.3
970,CUST-000815,silver,8,91054.48000000001,11381.81,2026-07-24,2026-07-24,118370.82
233,CUST-000199,platinum,12,47302.88,3941.91,2026-07-24,2026-07-24,118257.2
1616,CUST-001337,silver,8,90741.4,11342.68,2026-07-24,2026-07-24,117963.82
990,CUST-000831,silver,24,90118.91999999998,3754.95,2026-07-24,2026-07-24,117154.6
804,CUST-000680,gold,12,64985.96,5415.5,2026-07-24,2026-07-24,116974.73
1647,CUST-001362,gold,8,64640.68,8080.09,2026-07-24,2026-07-24,116353.22
1495,CUST-001231,gold,12,64601.35999999999,5383.45,2026-07-24,2026-07-24,116282.45
2051,CUST-001690,bronze,8,116060.56,14507.57,2026-07-24,2026-07-24,116060.56
1621,CUST-001340,gold,8,64281.96000000001,8035.25,2026-07-24,2026-07-24,115707.53
1025,CUST-000858,bronze,12,115429.23999999999,9619.1,2026-07-24,2026-07-24,115429.24
1852,CUST-001535,bronze,12,114811.0,9567.58,2026-07-24,2026-07-24,114811.0
1806,CUST-001495,silver,12,87937.19999999998,7328.1,2026-07-24,2026-07-24,114318.36
1644,CUST-001359,silver,12,87928.64000000001,7327.39,2026-07-24,2026-07-24,114307.23
762,CUST-000642,gold,8,63491.32000000001,7936.42,2026-07-24,2026-07-24,114284.38
453,CUST-000381,gold,4,63371.0,15842.75,2026-07-24,2026-07-24,114067.8
1335,CUST-001103,gold,8,62942.44,7867.81,2026-07-24,2026-07-24,113296.39
1970,CUST-001626,bronze,12,113200.99999999999,9433.42,2026-07-24,2026-07-24,113201.0
363,CUST-000307,bronze,12,113038.51999999999,9419.88,2026-07-24,2026-07-24,113038.52
584,CUST-000492,silver,16,86876.04000000001,5429.75,2026-07-24,2026-07-24,112938.85
2429,CUST-001996,gold,12,62404.92,5200.41,2026-07-24,2026-07-24,112328.86
2048,CUST-001687,bronze,8,112241.40000000002,14030.18,2026-07-24,2026-07-24,112241.4
1264,CUST-001044,silver,8,86339.2,10792.4,2026-07-24,2026-07-24,112240.96
